ID,Datetime,Count,Car Count,Bike Count,Bus Count,Truck Count,Traffic Situation
1,01-01-2024 00:00,20,0,7,10,3,normal
2,01-01-2024 01:00,44,3,37,1,3,normal
3,01-01-2024 02:00,28,12,7,2,7,normal
4,01-01-2024 03:00,8,4,4,0,0,normal
5,01-01-2024 04:00,14,5,0,0,9,normal
6,01-01-2024 05:00,2,0,2,0,0,normal
7,01-01-2024 06:00,12,1,7,3,1,normal
8,01-01-2024 07:00,8,1,5,0,2,normal
9,01-01-2024 08:00,10,4,3,0,3,normal
10,01-01-2024 09:00,18,10,4,1,3,normal
11,01-01-2024 10:00,16,7,9,0,0,normal
12,01-01-2024 11:00,20,0,19,0,1,normal
13,01-01-2024 12:00,20,15,1,3,1,normal
14,01-01-2024 13:00,12,6,2,2,2,normal
15,01-01-2024 14:00,12,5,1,4,2,normal
16,01-01-2024 15:00,16,14,0,1,1,normal
17,01-01-2024 16:00,6,0,2,4,0,normal
18,01-01-2024 17:00,28,28,0,0,0,normal
19,01-01-2024 18:00,24,12,10,2,0,normal
20,01-01-2024 19:00,16,15,1,0,0,normal
21,01-01-2024 20:00,14,9,1,4,0,normal
22,01-01-2024 21:00,24,8,9,3,4,normal
23,01-01-2024 22:00,14,8,1,4,1,normal
24,01-01-2024 23:00,16,6,7,0,3,normal
25,02-01-2024 00:00,12,12,0,0,0,normal
26,02-01-2024 01:00,20,3,16,0,1,normal
27,02-01-2024 02:00,12,12,0,0,0,normal
28,02-01-2024 03:00,10,1,9,0,0,normal
29,02-01-2024 04:00,10,3,0,7,0,normal
30,02-01-2024 05:00,14,13,1,0,0,normal
31,02-01-2024 06:00,12,3,8,1,0,normal
32,02-01-2024 07:00,4,0,3,0,1,normal
33,02-01-2024 08:00,8,6,0,0,2,normal
34,02-01-2024 09:00,8,7,1,0,0,normal
35,02-01-2024 10:00,14,13,0,0,1,normal
36,02-01-2024 11:00,16,6,3,4,3,normal
37,02-01-2024 12:00,22,11,2,4,5,normal
38,02-01-2024 13:00,4,1,0,2,1,normal
39,02-01-2024 14:00,12,4,4,2,2,normal
40,02-01-2024 15:00,18,11,7,0,0,normal
41,02-01-2024 16:00,18,11,5,0,2,normal
42,02-01-2024 17:00,14,11,1,1,1,normal
43,02-01-2024 18:00,10,4,1,4,1,normal
44,02-01-2024 19:00,8,1,5,0,2,normal
45,02-01-2024 20:00,14,11,2,0,1,normal
46,02-01-2024 21:00,14,4,4,6,0,normal
47,02-01-2024 22:00,8,7,1,0,0,normal
48,02-01-2024 23:00,10,6,3,1,0,normal
49,03-01-2024 00:00,10,0,6,4,0,normal
50,03-01-2024 01:00,16,8,2,6,0,normal
